"outcome","term","estimate","std.error","rep","seed"
"irae","ns(month, df = 3)3",-0.449609274091669,0.0862596840150605,12,1012
"irae","age",-0.00323974916995483,0.00170659455769868,12,1012
"irae","sexFemale",0.167471224784681,0.0318568214557948,12,1012
"irae","ecog1",-0.0329307196367663,0.034858295336326,12,1012
"irae","ecog2",-0.250282410651776,0.066266781253685,12,1012
"irae","ecog3",-0.0661335169252661,0.115915819497889,12,1012
"irae","cancer.typeBladder",0.13514747497026,0.0607898535675221,12,1012
"irae","cancer.typeKidney",0.0355360827998537,0.0635310366278304,12,1012
"irae","cancer.typeMelanoma",0.204806319286631,0.0568250649031309,12,1012
"irae","practice.typeCommunity",-0.0890706913988743,0.0343716359579638,12,1012
"irae","tx.combo",0.189432507583629,0.0322512003909802,12,1012
"irae","pd.l1Low",0.174815730005827,0.0377825910213346,12,1012
"irae","pd.l1High",0.389724690354042,0.0419327410260719,12,1012
"irae","on.ici",0.282687501113071,0.0482548422913866,12,1012
"death","(Intercept)",-9.00592966439011,0.0923296302287345,13,1013
"death","ns(month, df = 3)1",0.391474765266189,0.0469091674084659,13,1013
"death","ns(month, df = 3)2",0.745971682136811,0.0823213797498025,13,1013
"death","ns(month, df = 3)3",0.774992826638853,0.0427723675145544,13,1013
"death","age",0.0497019662800139,0.00104707843107555,13,1013
"death","sexFemale",0.0990295378418979,0.0196130753919627,13,1013
"death","ecog1",0.497410577081722,0.0230464886973035,13,1013
"death","ecog2",0.972678514218392,0.0302456872709473,13,1013
"death","ecog3",1.49677793661605,0.0437739122049702,13,1013
"death","cancer.typeBladder",0.122802228707032,0.0346734141716578,13,1013
"death","cancer.typeKidney",0.183072117277142,0.0344406604881439,13,1013
"death","cancer.typeMelanoma",-0.0415633651405753,0.0383072764333172,13,1013
"death","practice.typeCommunity",0.00568144698739524,0.0216239793363246,13,1013
"death","initial.stageIV",0.404707385449304,0.0230371978198954,13,1013
"death","on.ici",-0.22085908891083,0.0270955440895612,13,1013
"irae","(Intercept)",-5.9864954876504,0.138950809499343,13,1013
"irae","ns(month, df = 3)1",-0.375771316186048,0.0767571488440049,13,1013
"irae","ns(month, df = 3)2",0.187574290863173,0.116876671225714,13,1013
"irae","ns(month, df = 3)3",0.0328732741690193,0.0842341648755593,13,1013
"irae","age",-0.00541621099843462,0.00168934088873146,13,1013
"irae","sexFemale",0.25550934784867,0.0321576361386416,13,1013
"irae","ecog1",0.0341461390983014,0.0349713224471426,13,1013
